
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
41	2	0.081506	162690.997700	162690.992600	162779.674900	162779.671500	2	2	0.259155	163781.050100	163781.044100	164043.418000	164043.414900	CCNP001684	0
42	2	0.212623	166547.083300	166547.078200	166763.516800	166763.513500	3	2	0.234792	167764.637700	167764.632200	168003.328700	168003.325600	CCNP001684	0
43	2	0.312313	170507.006200	170506.997600	170827.337200	170827.334100	3	2	0.268055	171828.424400	171828.419100	172099.853500	172099.849900	CCNP001684	0
44	2	0.213002	174603.626000	174603.621100	174827.852700	174827.849300	3	1	0.210907	175829.043300	175829.037400	176043.418100	176043.415200	CCNP001684	1
45	2	0.084315	178547.120200	178547.115200	178635.478200	178635.474500	2	1	0.252332	179636.604300	179636.599300	179892.106900	179892.103600	CCNP001684	1
46	2	0.234663	182395.605600	182395.600000	182635.402700	182635.399600	3	1	0.228083	183636.574200	183636.569300	183867.924100	183867.920900	CCNP001684	0
47	1	0.310377	186371.538000	186371.532700	186691.910200	186691.906900	2	1	0.187141	187693.116900	187693.111600	187883.497600	187883.494300	CCNP001684	1
48	1	0.277448	190387.386600	190387.381000	190675.721100	190675.717600	3	1	0.235277	191676.843200	191676.837900	191915.391400	191915.388100	CCNP001684	1
49	1	0.012165	194419.083900	194419.078700	194443.719200	194443.715800	2	1	0.139018	195444.903900	195444.898700	195587.298900	195587.295900	CCNP001684	0
50	1	0.177269	198091.021200	198091.015900	198275.509200	198275.505800	2	2	0.267353	199276.739800	199276.735000	199547.579700	199547.564200	CCNP001684	1
51	1	0.242468	202051.379100	202051.373900	202307.460900	202307.457400	2	2	0.259220	203308.828600	203308.823400	203571.334000	203571.330800	CCNP001684	1
52	1	0.202288	206074.907200	206074.902100	206283.916500	206283.913300	3	2	0.250902	207285.163400	207285.158100	207539.586000	207539.582900	CCNP001684	0
53	1	0.203082	210043.246600	210043.241400	210251.413100	210251.409600	3	1	0.531472	211252.718900	211252.713900	211787.590800	211787.587500	CCNP001684	1
54	1	0.192767	214291.390600	214291.385300	214491.253700	214491.250500	3	1	0.522821	215492.548000	215492.543000	216019.451800	216019.447500	CCNP001684	1
55	1	0.183838	218523.167700	218523.162100	218715.744600	218715.741300	3	1	0.466328	219717.045400	219717.027300	220187.250100	220187.246400	CCNP001684	1
56	1	0.225165	222691.083800	222691.078600	222923.336500	222923.333300	3	1	0.402843	223925.869100	223925.850100	224331.877500	224331.874100	CCNP001684	1
57	1	0.050303	226835.736600	226835.731200	226899.381300	226899.377000	3	1	0.435450	227900.712700	227900.707300	228339.424800	228339.421300	CCNP001684	1
58	1	0.195092	230843.197900	230843.193200	231043.578600	231043.575200	2	2	0.715233	232044.907900	232044.902800	232763.553400	232763.550300	CCNP001684	0
59	1	0.225714	235267.492700	235267.488000	235507.324800	235507.321100	2	2	0.641167	236517.171700	236517.138400	237163.277900	237163.274400	CCNP001684	1
60	2	0.225889	239667.594900	239667.589500	239907.766900	239907.763600	3	1	0.234205	240909.069700	240909.064200	241147.159800	241147.156100	CCNP001684	0
61	1	0.226354	243650.999000	243650.993900	243891.298000	243891.294800	3	2	0.339705	244892.507400	244892.502200	245235.501800	245235.498800	CCNP001684	0
62	2	0.223251	247739.437100	247739.431900	247971.560400	247971.557200	3	1	0.459376	248972.783000	248972.778000	249435.531700	249435.527900	CCNP001684	0
63	1	0.119037	251939.273800	251939.268600	252067.442500	252067.439300	3	1	0.603284	253068.828100	253068.823200	253675.532200	253675.528600	CCNP001684	1
64	1	0.355128	256179.298800	256179.293000	256539.225100	256539.222000	2	2	0.339438	257540.610100	257540.604900	257883.530100	257883.526900	CCNP001684	0
65	1	0.397060	260387.344600	260387.339600	260795.603500	260795.600200	3	1	0.602987	261796.934600	261796.929300	262403.385800	262403.382700	CCNP001684	1
66	1	0.367992	264907.171000	264907.165900	265283.167200	265283.164000	3	1	0.426756	266284.396800	266284.391600	266715.330500	266715.326100	CCNP001684	1
67	1	0.595529	272229.058300	272229.037400	272827.652700	272827.649300	2	1	0.395300	273828.527000	273828.522300	274227.320700	274227.317400	CCNP001684	0
68	1	0.220786	276731.020600	276731.012700	276955.225900	276955.222700	2	2	0.339261	277956.116600	277956.112000	278299.174400	278299.170800	CCNP001684	0
69	2	0.260355	280802.621700	280802.616700	281075.516500	281075.513400	2	1	0.243503	282076.469100	282076.464500	282323.249400	282323.246200	CCNP001684	1
70	2	0.355472	284826.737200	284826.731600	285187.360400	285187.357300	3	1	0.315714	286188.274400	286188.270000	286507.229400	286507.226200	CCNP001684	1
71	2	0.228325	289010.610300	289010.605300	289243.362000	289243.358500	3	1	0.363459	290244.569300	290244.562200	290611.625200	290611.622000	CCNP001684	1
72	2	0.247761	293115.417900	293115.412400	293379.570100	293379.566800	2	1	0.898938	294380.396000	294380.391100	295283.346600	295283.343000	CCNP001684	1
73	2	0.420901	297786.737200	297786.732100	298219.304400	298219.301100	3	1	0.379451	299220.274600	299220.269400	299603.228800	299603.225100	CCNP001684	0
74	2	0.224327	302106.787000	302106.781900	302339.537600	302339.534300	3	1	0.243393	303340.456600	303340.451800	303587.327800	303587.324500	CCNP001684	0
75	2	0.233047	306090.844800	306090.839400	306331.434400	306331.430700	3	2	0.244153	307332.469000	307332.463600	307579.753700	307579.750300	CCNP001684	0
76	1	0.233251	310083.187400	310083.182300	310331.617600	310331.614200	2	2	0.266948	311332.503100	311332.498800	311603.159600	311603.156100	CCNP001684	0
