
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
102	1	0.258129	533743.320300	533743.315200	534008.143800	534008.140600	2	1	0.363764	535009.053100	535009.048500	535376.387300	535376.384000	CCNP001689	0
103	1	0.283645	537879.662000	537879.657100	538168.257600	538168.254300	3	1	0.306776	539169.109800	539169.105200	539479.786900	539479.783400	CCNP001689	1
104	1	0.320427	541983.421400	541983.415900	542320.392500	542320.389200	3	1	0.458350	543321.334800	543321.316700	543783.678800	543783.675300	CCNP001689	0
105	1	0.452336	546286.999000	546286.994200	546752.400500	546752.396200	3	1	0.251727	547753.294800	547753.289900	548008.497600	548008.494200	CCNP001689	0
106	2	0.755192	550511.779000	550511.772800	551271.896300	551271.893200	2	2	0.211523	552272.812400	552272.807400	552487.928200	552487.924400	CCNP001689	0
107	1	0.192094	554991.307600	554991.303000	555192.109900	555192.106600	2	1	0.434821	556193.000800	556192.995900	556631.653600	556631.650000	CCNP001689	0
108	2	0.497925	559136.027000	559136.022000	559647.865800	559647.862500	2	1	0.283395	560648.671900	560648.667200	560936.050600	560936.047400	CCNP001689	0
109	2	0.437793	563439.436400	563439.431500	563887.676200	563887.673100	3	1	0.259704	564888.803500	564888.794600	565152.249800	565152.246500	CCNP001689	0
110	2	0.412458	567655.705700	567655.680100	568079.696000	568079.692300	3	2	0.403948	569080.546400	569080.541600	569487.970100	569487.967000	CCNP001689	0
111	1	0.336319	571991.417200	571991.412200	572336.425000	572336.421700	2	1	0.307444	573337.250500	573337.245500	573648.044300	573648.041100	CCNP001689	0
112	1	0.561219	576151.773300	576151.768500	576727.964900	576727.961700	3	1	0.651938	577728.893100	577728.888400	578384.223500	578384.220200	CCNP001689	0
113	2	0.428112	580887.525100	580887.519100	581328.051100	581328.048000	3	2	0.507714	582328.954500	582328.949900	582840.013300	582840.010300	CCNP001689	1
